Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Behavior Based Group Recommendation from Social Media Dataset by Using Deep Learning and Topic Modeling","SN Computer Science","","5","6","10.1007/s42979-024-03055-1","Md. Saddam Hossain MuktaJubaer AhmedMohaimenul Azam Khan RaiaanNur Mohammad FahadMuhammad Nazrul IslamNafiz ImtiazMd. Adnanul IslamMohammed Eunus AliSami Azam","2024","http://link.springer.com/article/10.1007/s42979-024-03055-1","Article"
"A SHAP-based controversy analysis through communities on Twitter","World Wide Web","","27","5","10.1007/s11280-024-01278-z","Samy BenslimaneThomas PapastergiouJérôme AzéSandra BringayMaximilien ServajeanCaroline Mollevi","2024","http://link.springer.com/article/10.1007/s11280-024-01278-z","Article"
"A smart Alzheimer’s patient monitoring system with IoT-assisted technology through enhanced deep learning approach","Knowledge and Information Systems","","65","12","10.1007/s10115-023-01890-x","Rajesh ArunachalamGurram SunithaSurendra Kumar ShuklaSurya Nath pandeyShabana UroojSeema Rawat","2023","http://link.springer.com/article/10.1007/s10115-023-01890-x","Article"
"Depression detection in social media posts using transformer-based models and auxiliary features","Social Network Analysis and Mining","","14","1","10.1007/s13278-024-01360-4","Marios KerasiotisLoukas IliasDimitris Askounis","2024","http://link.springer.com/article/10.1007/s13278-024-01360-4","Article"
"Automated programming, symbolic computation, machine learning: my personal view","Annals of Mathematics and Artificial Intelligence","","91","5","10.1007/s10472-023-09894-7","Bruno Buchberger","2023","http://link.springer.com/article/10.1007/s10472-023-09894-7","Article"
"Turning manual web accessibility success criteria into automatic: an LLM-based approach","Universal Access in the Information Society","","","","10.1007/s10209-024-01108-z","Juan-Miguel López-GilJuanan Pereira","2024","http://link.springer.com/article/10.1007/s10209-024-01108-z","Article"
"Person Re-identification with Spatial Multi-granularity Feature Exploration for Social Risk Situational Assessment","Cognitive Computation","","16","5","10.1007/s12559-024-10249-5","Mingfu XiongHanmei ChenYi WenAbdul Khader Jilani SaudagarJavier Del SerKhan Muhammad","2024","http://link.springer.com/article/10.1007/s12559-024-10249-5","Article"
"A framework for real-time dress classification in cluttered background images for robust image retrieval","Cognition, Technology & Work","","25","4","10.1007/s10111-023-00735-5","Mudasir DilawarYasir SaleemIkram SyedTauqir Ahmad","2023","http://link.springer.com/article/10.1007/s10111-023-00735-5","Article"
"Iris: a multi-constraint graphic layout generation system","Frontiers of Information Technology & Electronic Engineering","","25","7","10.1631/FITEE.2300312","Liuqing Chen 陈柳青Qianzhi Jing 景千芝Yixin Tsang 曾怡欣Tingting Zhou 周婷婷","2024","http://link.springer.com/article/10.1631/FITEE.2300312","Article"
"Superiority of three-way decisions from the perspective of probability","Artificial Intelligence Review","","56","2","10.1007/s10462-022-10203-7","Longjun YinQinghua ZhangFan ZhaoDun LiuGuoyin Wang","2023","http://link.springer.com/article/10.1007/s10462-022-10203-7","Article"
"Few-shot defect detection using feature enhancement and image generation for manufacturing quality inspection","Applied Intelligence","","54","1","10.1007/s10489-023-05199-8","Yu GongMingzhou LiuXiaoqiao WangConghu LiuJing Hu","2024","http://link.springer.com/article/10.1007/s10489-023-05199-8","Article"
